message,label
U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,spam
Roger that. We‘re probably going to rem in about 20,ham
Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham
Yes I know the cheesy songs from frosty the snowman :),ham
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,ham
"It‘s £6 to get in, is that ok?",ham
If You mean the website. Yes.,ham
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham
No..he joined today itself.,ham
Or I guess  &lt;#&gt;  min,ham
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam
Mmmm.... I cant wait to lick it!,ham
I cant pick the phone right now. Pls send a message,ham
Just glad to be talking to you.,ham
"K, if u bored up just come to my home..",ham
Am only searching for good dual sim mobile pa.,ham
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,ham
Wot u up 2? Thout u were gonna call me!! Txt bak luv K,ham
Do you like Italian food?,ham
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,spam
"Great. I'm in church now, will holla when i get out",ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,spam
Ok ok take care. I can understand.,ham
I have gone into get info bt dont know what to do,ham
Did you see that film:),ham
Oh god. I'm gonna Google nearby cliffs now.,ham
Love it! The girls at the office may wonder why you are smiling but sore...,ham
Where are you ? You said you would be here when I woke ... :-(,ham
INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,spam
Normally i use to drink more water daily:),ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
Okie,ham
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,ham
I dont want to hear anything,ham
What was she looking for?,ham
Babe ? I lost you ... Will you try rebooting ?,ham
Aiyah ok wat as long as got improve can already wat...,ham
R u saying i should re order the slippers cos i had to pay for returning it.,ham
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
U attend ur driving lesson how many times a wk n which day?,ham
aathi..where are you dear..,ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,ham
"Sorry, I'll call later",ham
"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",ham
We can make a baby in yo tho,ham
"(And my man carlos is definitely coming by mu tonight, no excuses)",ham
URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,spam
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham
Are u awake? Is there snow there?,ham
